"Gene","logFC_12649","P_12649","logFC_21138","P_21138","logFC_53987","P_53987","MetaP","FDR","Direction","MeanLogFC"
"ATP6V0E1",0.158023318202228,0.0830888237056995,0.286943182308789,0.0024166984677911,0.301263408537931,0.000174496407599628,5.79952703428155e-06,0.00137829790680455,"Consistent",0.248743303016316
"ELOVL5",0.193691338443839,0.121431129756892,0.292063299493888,0.0105704744529494,0.345964961607542,2.57303465685664e-05,5.5020604959349e-06,0.00137829790680455,"Consistent",0.27723986651509
"IL17RB",0.332900767643034,0.00944571718566957,0.368090016302393,0.0198356593600962,0.414118235534419,0.000239098923712968,7.2162026967858e-06,0.00142017055800834,"Consistent",0.371703006493282
"HSDL2",0.231482365987493,0.016637287867869,0.381281425985641,0.00254685614886348,0.263645867698212,0.0010229067113621,7.00754669703395e-06,0.00142017055800834,"Consistent",0.292136553223782
"FTH1",0.22771513194188,0.00672389682627477,0.247283683276757,0.00509823247525503,0.21958859740133,0.00151333955425259,8.22069866199239e-06,0.00153073315437403,"Consistent",0.231529137539989
"TOB2",0.156315299986423,0.176361985295893,0.395864344577459,0.00166975814188401,0.379513219947939,0.000184167148840607,8.55136789372537e-06,0.00154269052182776,"Consistent",0.310564288170607
"HMGN1",0.152777076115459,0.0109595017742569,0.0744112102661774,0.262145987016683,0.241302163821457,1.95335339824723e-05,8.81472900355676e-06,0.00156841801407122,"Consistent",0.156163483401031
"PEG10",0.329865136129179,0.00101523095061813,-0.416638275,0.0290979031404115,0.211816551740839,0.00198383558018811,9.16017475738733e-06,0.00157007106162635,"Mixed",0.0416811376233392
"MT2A",0.338429161370174,0.0208074317149287,0.408768837151859,0.00788037706717315,0.565317614319687,0.000358574798552476,9.18665029514226e-06,0.00157007106162635,"Consistent",0.437505204280573
"BCL6",0.250853027205718,0.0256029210549628,0.440058654919108,0.00199592613319403,0.510138621224721,0.00120224999582014,9.55173847129467e-06,0.00160643309766431,"Consistent",0.400350101116516
"PALLD",0.291621897653291,0.0305692097177122,0.422913545419967,0.00231875775862101,0.388319278026186,0.000889154553746967,9.77043765613058e-06,0.00160643309766431,"Consistent",0.367618240366481
"NPAS3",0.24391272786991,0.0147067420591971,0.434841392040029,0.00319507159659274,0.342668237802381,0.00144273174209407,1.04227300375438e-05,0.00163194319217372,"Consistent",0.34047411923744
"PBXIP1",0.151323679610848,0.151169418251636,0.44503569502087,0.00117799624204159,0.371924308837762,0.000413103858680756,1.12051050068191e-05,0.00171227186980674,"Consistent",0.32276122782316
"OGA",0.205309028733748,0.00268665568566261,-0.202994544,0.134869418222544,0.249744181091071,0.000214976357004113,1.1787389664022e-05,0.00176331557885757,"Mixed",0.0840195552749394
"IL6ST",0.156707830573006,0.0167626985792645,0.36438348107407,0.00581976799875406,0.257888367595164,0.000867533410997269,1.26850823286333e-05,0.0018307392707402,"Consistent",0.259659893080747
"NTRK2",0.524654583755765,0.00275877795209881,0.452530442864896,0.0237143781349402,0.51306837656829,0.00144135660464767,1.39580428420054e-05,0.00197903463436938,"Consistent",0.496751134396317
"RHCE",0.111338440902077,0.011698082493355,0.0747845265347955,0.114742630560733,0.365283466565185,7.05899933416922e-05,1.4017336697358e-05,0.00197903463436938,"Consistent",0.183802144667352
"DTNA",0.36626383471157,0.0333972969058483,0.557939564940418,0.00288656601805593,0.63890143449738,0.00105690405567704,1.49465814999458e-05,0.00200145512477109,"Consistent",0.521034944716456
"KCNN3",0.205896519447537,0.0755551816488949,0.41776315812567,0.000199836378806399,0.299671604126593,0.00668428526490196,1.48213954140658e-05,0.00200145512477109,"Consistent",0.307777093899933
"MEIS2",0.225595257253087,0.00801573766373275,0.217398166432698,0.00667301457168044,0.157340095787854,0.00199441916294011,1.55656230158362e-05,0.00202181877352696,"Consistent",0.200111173157879
"CPNE3",0.23545558770566,0.0183519235025028,0.304388223486372,0.00812381674770786,0.289764472144601,0.000714410278554041,1.55437158858092e-05,0.00202181877352696,"Consistent",0.276536094445544
"RIPOR2",0.140960321029318,0.0118142534322644,0.112342341477398,0.0681058360304042,0.265307576932114,0.000139595908720095,1.62902601942499e-05,0.00204212715266516,"Consistent",0.172870079812943
"SLCO1C1",0.340567876008844,0.0678321036455096,0.163026424187668,0.00234422986108333,0.556061007965598,0.000687908232235321,1.59139312084534e-05,0.00204212715266516,"Consistent",0.353218436054037
"PDK4",0.142629855898789,0.250561009155862,0.624530082431627,0.0112717033909596,0.907537443124636,4.08092828100193e-05,1.66652920303724e-05,0.00204212715266516,"Consistent",0.558232460485017
"KRABD4",0.279067127422927,9.15337494879178e-05,0.137715663758724,0.184964509095631,0.19227306057206,0.00751535345972971,1.81849437405635e-05,0.00215232793662956,"Consistent",0.203018617251237
"OSBPL11",0.205639219734228,0.00695184952417949,0.390601290023937,0.00339776522620114,0.270102480316696,0.00572183481612275,1.91787958202354e-05,0.00224426467485619,"Consistent",0.28878099669162
"SMAD1",0.104269402729069,0.154254922578639,0.174432533964282,0.231009317835894,0.329628524222073,4.01745020456119e-06,2.01764489906971e-05,0.00229887628017689,"Consistent",0.202776820305141
"ASPH",0.255578034145769,0.0125809281682479,0.257342175058316,0.0508182398659733,0.237875732740154,0.000246647364958,2.19698447749571e-05,0.00241835859137219,"Consistent",0.250265313981413
"FUBP1",0.0547469339449114,0.337013902559575,-0.101136702,0.0775832370350484,0.281398188574513,5.95915887583294e-06,2.17390990891775e-05,0.00241835859137219,"Mixed",0.0783361401731414
"RRN3",0.170651460037642,0.00653186485973856,-0.187512883,0.165272874846104,0.212686422832792,0.000148521244718168,2.22936820292111e-05,0.00243338349476826,"Mixed",0.0652749999568115
"ZFP36L1",0.0513581759763211,0.140844008598487,0.533413804561141,0.00387009525360791,0.57397905615121,0.000315540446056106,2.3714390074961e-05,0.00252480502199728,"Consistent",0.386250345562891
"ITGB8",0.021265725474195,0.646058565063384,0.0986586406974039,0.033226024169888,0.469990391484467,8.35337684770865e-06,2.45997590790702e-05,0.00259777455835807,"Consistent",0.196638252552022
"BDH2",0.23490140213419,0.0549806130131366,0.33013302836688,0.00994864439769269,0.378665769430575,0.000339280872782731,2.53542800197416e-05,0.00263461394541139,"Consistent",0.314566733310548
"DECR1",0.193149859278331,0.0223570564532291,0.220026102906422,0.00894705014904738,0.221124619231396,0.000951671268060953,2.59277309163787e-05,0.00266218849051354,"Consistent",0.211433527138716
"FGF2",0.295191301588839,0.03743616547963,0.410999909384183,0.041462451812263,0.600920031841389,0.000125111506450778,2.63862873745823e-05,0.00266218849051354,"Consistent",0.435703747604804
"EMX2",0.505666088347829,0.00528408533236679,0.50433743947021,0.0131435466172897,0.464000312067561,0.00286321824219571,2.69416461422007e-05,0.0026722973176022,"Consistent",0.4913346132952
"CADM1",0.200235793442182,0.00258467233425399,0.198701245102423,0.0142256298455906,0.163444465496909,0.00624960052076971,3.05891906480351e-05,0.00290143026257515,"Consistent",0.187460501347171
"MAOA",0.193556152097422,0.0466785917299175,0.291845369609465,0.00775688840144942,0.309519318396289,0.000633237019220186,3.0530046856677e-05,0.00290143026257515,"Consistent",0.264973613367725
"MTM1",0.0648531235940695,0.118827103000523,0.215106181161414,0.0147601119164221,0.342473589460804,0.000134292513191933,3.12595156605636e-05,0.00294224528199319,"Consistent",0.207477631405429
"ETNPPL",0.699106137194883,0.00698968809053983,0.568994815798844,0.012709570350835,0.526618928615058,0.00278505822579966,3.26382131832185e-05,0.00294541806373024,"Consistent",0.598239960536262
"SDC2",0.357524057747047,0.0121566277157278,0.400803697827873,0.0237236808567242,0.463982025018845,0.000849810418656492,3.23686883413839e-05,0.00294541806373024,"Consistent",0.407436593531255
"GRAMD2B",0.36086718948402,0.0249849855393692,0.297384368164042,0.0766276751498051,0.484666107043708,0.000126120555546815,3.19486409234875e-05,0.00294541806373024,"Consistent",0.380972554897257
