"Gene","logFC_12649","P_12649","logFC_21138","P_21138","logFC_53987","P_53987","MetaP","FDR","Direction","MeanLogFC","Significant"
"S100B",0.106757263998812,0.402701351404715,0.293512640089217,0.0581059982636728,0.294702110719784,0.00147696153795256,0.00221315685187215,0.0218276914913161,"Consistent",0.231657338269271,TRUE
"ZNF160",0.241644055847447,0.0146254633288127,0.208790101275353,0.0972238059047992,0.202595699849851,0.0243814430951592,0.00221891003143689,0.0218509646689415,"Consistent",0.217676618990884,TRUE
"KTN1",0.182937000531747,0.255847153461501,0.134764038750273,0.0659041318739876,0.146567223485073,0.00207029163146996,0.00223150245665237,0.0219583222798921,"Consistent",0.154756087589031,TRUE
"SMG7-AS1",-0.0825246079565196,0.00868961258821221,0.0351815751345104,0.531634617783508,0.171228367209,0.00759551074028751,0.00224102898292075,0.0219688494031379,"Mixed",0.0412951114623302,TRUE
"ERBIN",0.338140176952389,0.051724053937041,0.268105456828213,0.0405842370075729,0.167824108648199,0.0166866363649344,0.00223783516027723,0.0219688494031379,"Consistent",0.258023247476267,TRUE
"KPNA5",-0.142705670182759,0.140041673060412,-0.262592876,0.172639559108555,-0.325655711695504,0.00144869231749379,0.00223764425323858,0.0219688494031379,"Consistent",-0.243651419292754,TRUE
"NAPA",0.0711900166930501,0.500003266744751,-0.296687562,0.0156354060724747,-0.17606674566159,0.00448425217850866,0.00223933525791324,0.0219688494031379,"Mixed",-0.13385476365618,TRUE
"TUBB6",0.0595950993415446,0.640679572348893,0.290091320788952,0.0366756393373037,0.524994180486965,0.00149236831032365,0.00223985586085961,0.0219688494031379,"Consistent",0.291560200205821,TRUE
"STAG2",0.244749277983605,0.0509670474646351,0.1757465251718,0.0303785372932902,0.137232754648263,0.0228932179185155,0.00225977605520099,0.0219702329199144,"Consistent",0.185909519267889,TRUE
"NIPSNAP1",-0.135150282087669,0.102351667616524,-0.230065399,0.0134381601282939,-0.216346263388321,0.0255602548682793,0.00224455656604892,0.0219702329199144,"Consistent",-0.193853981491997,TRUE
"HMGN5",0.0672720297068761,0.109859470608649,0.0436346695189167,0.268964749779537,0.200350401298786,0.0011933450485981,0.00225009319666099,0.0219702329199144,"Consistent",0.103752366841526,TRUE
"PTTG1IP",0.140936517006686,0.115078182492914,0.233758390282562,0.0349970717934018,0.232915394668145,0.00878953045033201,0.0022573227168024,0.0219702329199144,"Consistent",0.202536767319131,TRUE
"VPS53",-0.0621259607384728,0.20277055283916,-0.114200382,0.162280209482044,-0.214127311200046,0.00107651883016895,0.00225861458558617,0.0219702329199144,"Consistent",-0.130151217979506,TRUE
"B3GALNT1",-0.163848427386839,0.221484442236306,-0.50412005,0.00260053947199209,-0.273976404957321,0.0614056950087022,0.00225571775805286,0.0219702329199144,"Consistent",-0.313981627448053,TRUE
"CAMK2G",0.0979070672410316,0.239400701529374,-0.147723767,0.00452642682125152,-0.0999120336258184,0.0326056427637653,0.00225382928057274,0.0219702329199144,"Mixed",-0.0499095777949289,TRUE
"GRIN2A",-0.133817911900024,0.330075349939408,-0.448896822,0.011178889,-0.242869092997932,0.00960224299832222,0.00225901018402319,0.0219702329199144,"Consistent",-0.275194608965985,TRUE
"MARK1",-0.050643037049646,0.527289134837376,-0.29413984,0.0278534146085461,-0.236357155948788,0.00239715757794792,0.00224721427803275,0.0219702329199144,"Consistent",-0.193713344332811,TRUE
"GEMIN8",0.0353378113937275,0.539269863118651,0.118704731135056,0.034158343053389,0.256428199966084,0.00192192855494632,0.00225753594509577,0.0219702329199144,"Consistent",0.136823580831623,TRUE
"GEM",-0.0884156037476265,0.621551731765305,0.450678410644107,0.0178789248166479,0.445681273382563,0.00317499259301641,0.00225121362857577,0.0219702329199144,"Mixed",0.269314693426348,TRUE
"AP3B1",-0.134430653746417,0.0111952059701195,0.0468108876257078,0.406109058485355,-0.167364197356596,0.00782756805247738,0.00226723787928237,0.0219814673030972,"Mixed",-0.0849946544924349,TRUE
"ZFP64",-0.123844028210979,0.0210173644409079,-0.156072746,0.0428037506103443,-0.112510038183005,0.0395811857518897,0.00226830115041986,0.0219814673030972,"Consistent",-0.130808937464661,TRUE
"NTHL1",-0.103878481100761,0.100265417511815,-0.124349519,0.061280358627594,-0.161300017371675,0.00581445174989228,0.00227447009433849,0.0219814673030972,"Consistent",-0.129842672490812,TRUE
"ADCY2",0.0736670411661517,0.140717021024892,0.0939044609298669,0.0829430990569027,0.154805052582173,0.0030603256755002,0.00227409622824228,0.0219814673030972,"Consistent",0.107458851559397,TRUE
"WASL",-0.120824018444362,0.187098684928067,-0.195987213,0.0498315491401853,-0.22591941391423,0.00383179710127046,0.0022744545357538,0.0219814673030972,"Consistent",-0.180910215119531,TRUE
"KLC1",0.0730127250147516,0.419841775566936,-0.355517529,0.00783045087524511,-0.155577874785548,0.0108020035268882,0.00226326505614225,0.0219814673030972,"Mixed",-0.146027559590265,TRUE
"PJA1",-0.0383591107083685,0.606703990498596,-0.254018303,0.017292266126144,-0.133739965219799,0.00340421643610947,0.00227388663598547,0.0219814673030972,"Consistent",-0.142039126309389,TRUE
"AP2M1",-0.00258669925966615,0.980713897015436,-0.308662982,0.00359972279277308,-0.127572927226389,0.0100894094356065,0.00226885285145838,0.0219814673030972,"Consistent",-0.146274202828685,TRUE
"POLR1B",0.187505010594823,0.0235718508620928,0.162110802895512,0.0943376601282752,0.180487105525029,0.0160864391340674,0.00227687546146585,0.0219883534341859,"Consistent",0.176700973005121,TRUE
"CDC42EP4",0.178247476750544,0.100637652750088,0.246651201849975,0.0283897817538895,0.221905844294913,0.0125575115575274,0.00228243998478932,0.0220257154252812,"Consistent",0.21560150763181,TRUE
"PKNOX2",-0.0682706576549288,0.254124208641725,-0.210905247,0.0183526528220669,-0.137590996797766,0.0077119470761721,0.00228713028300059,0.0220545918677763,"Consistent",-0.138922300484231,TRUE
"HINT1",-0.0459373453738898,0.549590262949952,-0.241538295,0.00287812272786625,-0.23673363365732,0.0227784689182503,0.00229044508762379,0.0220701715453601,"Consistent",-0.17473642467707,TRUE
"FGF18",-0.142037631114253,0.0111373659170287,-0.201564475,0.022694969522807,-0.106103537164529,0.143408223636598,0.00230181989894121,0.0221466151219934,"Consistent",-0.149901881092927,TRUE
"TMEM121",-0.126542699288207,0.0187719866754218,-0.125123001,0.126320330812595,-0.199255537816776,0.0153548581979408,0.00231031361077073,0.0221466151219934,"Consistent",-0.150307079368328,TRUE
"NPL",0.221694222752583,0.0233338057556923,0.307114813670989,0.0700096003143472,0.313876603237979,0.0222741436278514,0.00230906545499886,0.0221466151219934,"Consistent",0.280895213220517,TRUE
"S1PR1",0.176302288312009,0.0923346873788317,0.264267307076693,0.0839575117314115,0.336129808244536,0.00469155602134048,0.0023081778442987,0.0221466151219934,"Consistent",0.258899801211079,TRUE
"UBA6",0.149916826208301,0.180278700605393,-0.459646214,0.0233371267439895,0.129432505638782,0.0086382489136707,0.00230676150758479,0.0221466151219934,"Mixed",-0.060098960717639,TRUE
"EIF5",-0.174914178578332,0.184230371814136,-0.423369089,0.00174322070737068,-0.119349035547223,0.11323314897402,0.00230794091133779,0.0221466151219934,"Consistent",-0.239210767708518,TRUE
"FAR2",-0.0030008441149727,0.976884640076776,-0.479361128,0.00205651759630077,-0.172757305081467,0.0180871420222267,0.00230644733478119,0.0221466151219934,"Consistent",-0.218373092398813,TRUE
"DHX15",-0.15003472979684,0.0290495754202906,-0.298017202,0.0131565726758441,-0.110407858585742,0.0953603166240385,0.00231215761674275,0.0221479463745366,"Consistent",-0.18615326346086,TRUE
"UCHL5",-0.0498629358774902,0.508852278767953,-0.384532967,0.00228444077818555,-0.21785412621207,0.0313904134299771,0.00231443062531453,0.0221533820134197,"Consistent",-0.217416676363187,TRUE
